SYMBOL,SERIES,DATE,PREV. CLOSE,OPEN,HIGH,LOW,LTP,CLOSE,VWAP,VOLUME,VALUE,NO. OF TRADES,DELIVERABLE QTY,DELIVERABLE %
TCS,EQ,2015-01-01,2558.25,2567.0,2567.0,2541.0,2550.0,2545.55,2548.51,183415,467434456.15,8002,52870.0,28.83
TCS,EQ,2015-01-02,2545.55,2551.0,2590.95,2550.6,2588.4,2579.45,2568.19,462870,1188740109.5,27585,309350.0,66.83
TCS,EQ,2015-01-05,2579.45,2581.0,2599.9,2524.65,2538.1,2540.25,2563.94,877121,2248885540.95,43234,456728.0,52.07
TCS,EQ,2015-01-06,2540.25,2529.1,2529.1,2440.0,2450.05,2446.6,2466.9,1211892,2989615356.45,84503,714306.0,58.94
TCS,EQ,2015-01-07,2446.6,2470.0,2479.15,2407.45,2426.9,2417.7,2433.96,1318166,3208362462.05,101741,886368.0,67.24
TCS,EQ,2015-01-08,2417.7,2442.4,2449.0,2420.55,2446.0,2443.8,2434.81,782704,1905739344.95,47699,450768.0,57.59
TCS,EQ,2015-01-09,2443.8,2455.0,2519.9,2450.0,2510.0,2512.3,2490.01,1598821,3981082206.1,81743,865777.0,54.15
TCS,EQ,2015-01-12,2512.3,2517.0,2528.0,2480.25,2527.95,2509.7,2497.82,798003,1993265997.0,58810,451228.0,56.54
TCS,EQ,2015-01-13,2509.7,2520.0,2530.4,2480.1,2498.0,2497.9,2509.4,734216,1842440372.8,49993,386133.0,52.59
TCS,EQ,2015-01-14,2497.9,2516.0,2531.8,2500.5,2525.05,2521.95,2517.54,893548,2249546195.85,69237,498193.0,55.75
TCS,EQ,2015-01-15,2521.95,2533.0,2581.75,2523.25,2542.05,2539.1,2550.97,2504960,6390076185.1,96363,1598846.0,63.83
TCS,EQ,2015-01-16,2539.1,2543.7,2545.0,2484.3,2526.0,2532.15,2511.39,2646915,6647444421.0,127847,1372200.0,51.84
TCS,EQ,2015-01-19,2532.15,2536.0,2551.0,2503.0,2509.0,2511.0,2516.06,567537,1427954312.25,38860,309156.0,54.47
TCS,EQ,2015-01-20,2511.0,2520.0,2530.0,2483.25,2498.0,2500.45,2498.94,1029283,2572121220.8,58066,733487.0,71.26
TCS,EQ,2015-01-21,2500.45,2522.0,2522.0,2488.25,2518.0,2513.8,2507.75,1155240,2897054575.55,75976,771316.0,66.77
TCS,EQ,2015-01-22,2513.8,2516.5,2521.25,2495.5,2511.0,2513.55,2509.31,1056607,2651354602.65,74837,742399.0,70.26
TCS,EQ,2015-01-23,2513.55,2514.0,2532.05,2496.1,2504.1,2503.6,2507.34,1575190,3949529682.5,94619,1205911.0,76.56
TCS,EQ,2015-01-27,2503.6,2512.35,2515.0,2489.55,2504.2,2502.05,2502.26,1369368,3426510287.6,71406,1079233.0,78.81
TCS,EQ,2015-01-28,2502.05,2503.0,2544.9,2502.9,2533.4,2539.6,2529.32,1560990,3948240029.2,101994,1142166.0,73.17
TCS,EQ,2015-01-29,2539.6,2538.0,2568.7,2512.9,2560.7,2544.65,2531.88,1867196,4727519891.7,67497,1547590.0,82.88
TCS,EQ,2015-01-30,2544.65,2560.7,2575.0,2470.0,2484.0,2482.05,2494.94,2908701,7257025448.9,119200,2355497.0,80.98
TCS,EQ,2015-02-02,2482.05,2482.0,2521.45,2462.05,2516.0,2514.2,2500.6,1590901,3978210627.5,89485,1171718.0,73.65
TCS,EQ,2015-02-03,2514.2,2511.65,2565.0,2507.1,2552.25,2558.25,2536.23,1172527,2973793376.9,75106,701449.0,59.82
TCS,EQ,2015-02-04,2558.25,2568.0,2571.7,2502.1,2514.95,2514.3,2523.08,1122709,2832686626.95,60615,807091.0,71.89
TCS,EQ,2015-02-05,2514.3,2520.0,2591.7,2519.0,2553.0,2552.4,2558.13,2265084,5794386346.15,77935,1638106.0,72.32
TCS,EQ,2015-02-06,2552.4,2553.0,2594.8,2550.85,2576.1,2575.75,2578.4,1068208,2754264728.5,82449,582019.0,54.49
TCS,EQ,2015-02-09,2575.75,2561.5,2569.1,2500.0,2512.0,2512.9,2531.83,1038216,2628585064.5,72967,695542.0,66.99
TCS,EQ,2015-02-10,2512.9,2510.0,2526.25,2433.0,2445.5,2441.15,2473.88,1899527,4699201090.95,114773,1383973.0,72.86
TCS,EQ,2015-02-11,2441.15,2455.05,2487.25,2447.25,2460.0,2459.9,2468.94,1468761,3626283022.7,115345,1143243.0,77.84
TCS,EQ,2015-02-12,2459.9,2479.8,2479.8,2447.0,2469.0,2462.15,2462.56,1553990,3826786521.05,113845,1269759.0,81.71
TCS,EQ,2015-02-13,2462.15,2470.0,2547.75,2460.25,2540.0,2538.75,2508.49,2079163,5215563169.75,132132,1521051.0,73.16
TCS,EQ,2015-02-16,2538.75,2560.0,2595.0,2555.0,2581.7,2584.8,2576.98,1182196,3046491822.15,82111,831991.0,70.38
TCS,EQ,2015-02-18,2584.8,2585.05,2643.0,2565.25,2640.0,2635.65,2605.04,1330007,3464715998.0,70475,792678.0,59.6
TCS,EQ,2015-02-19,2635.65,2636.0,2687.3,2635.0,2674.55,2681.05,2660.47,1309001,3482564216.15,80730,831048.0,63.49
TCS,EQ,2015-02-20,2681.05,2698.8,2698.8,2642.25,2664.65,2675.55,2672.56,900794,2407423105.4,43830,537225.0,59.64
TCS,EQ,2015-02-23,2675.55,2671.0,2722.0,2671.0,2700.0,2696.65,2701.93,807446,2181659977.3,47641,362669.0,44.92
TCS,EQ,2015-02-24,2696.65,2694.0,2730.0,2679.0,2699.35,2704.75,2709.36,1099961,2980186374.15,46480,685771.0,62.35
TCS,EQ,2015-02-25,2704.75,2710.0,2722.0,2667.85,2669.7,2672.2,2694.16,883997,2381629633.95,43048,546944.0,61.87
TCS,EQ,2015-02-26,2672.2,2679.0,2692.75,2625.35,2649.5,2656.45,2655.31,995997,2644680139.0,56829,565254.0,56.75
TCS,EQ,2015-02-27,2656.45,2659.45,2675.75,2616.3,2668.0,2662.35,2647.84,1438688,3809421137.3,74413,1003079.0,69.72
TCS,EQ,2015-02-28,2662.35,2677.0,2687.1,2643.0,2679.55,2675.25,2668.12,589498,1572848976.85,30189,271598.0,46.07
TCS,EQ,2015-03-02,2675.25,2679.7,2708.95,2652.55,2673.95,2669.4,2664.97,1088019,2899536306.85,64343,770649.0,70.83
TCS,EQ,2015-03-03,2669.4,2682.0,2790.0,2676.15,2785.1,2776.0,2748.34,1712154,4705576546.9,74770,1068918.0,62.43
TCS,EQ,2015-03-04,2776.0,2788.0,2812.1,2715.65,2740.0,2746.0,2763.04,1931497,5336806165.4,71983,1405748.0,72.78
TCS,EQ,2015-03-05,2746.0,2750.0,2770.7,2681.05,2690.1,2696.45,2713.59,1086757,2949013378.05,45126,677138.0,62.31
TCS,EQ,2015-03-09,2696.45,2640.0,2679.8,2610.0,2649.0,2646.8,2647.72,1441587,3816922360.75,64488,864858.0,59.99
TCS,EQ,2015-03-10,2646.8,2648.9,2678.25,2595.25,2638.85,2642.7,2632.78,1518526,3997941404.6,89030,910422.0,59.95
TCS,EQ,2015-03-11,2642.7,2642.0,2659.95,2597.8,2605.15,2606.55,2622.9,1120100,2937908675.55,52147,616835.0,55.07
