"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","30-Dec-2016","819.35","822.00","830.00","814.90","825.20","827.95","825.08","10,25,942","84,64,88,974.70","50,825","5,94,519","57.95"
"HCLTECH","EQ","29-Dec-2016","807.05","807.10","824.90","805.30","823.00","819.35","818.83","17,80,001","1,45,75,27,048.90","79,405","12,14,559","68.23"
"HCLTECH","EQ","28-Dec-2016","804.85","810.00","817.75","804.15","809.70","807.05","811.81","7,17,216","58,22,45,017.00","42,783","4,20,251","58.59"
"HCLTECH","EQ","27-Dec-2016","790.40","788.90","809.90","787.00","804.00","804.85","801.95","5,05,709","40,55,51,308.75","25,032","1,59,743","31.59"
"HCLTECH","EQ","26-Dec-2016","793.75","791.90","797.80","783.30","788.35","790.40","791.90","5,58,575","44,23,36,730.20","22,196","2,22,351","39.81"
"HCLTECH","EQ","23-Dec-2016","817.10","816.00","816.00","791.00","797.25","793.75","800.24","14,52,634","1,16,24,62,866.40","37,147","9,11,040","62.72"
"HCLTECH","EQ","22-Dec-2016","820.80","818.30","822.90","806.00","815.20","817.10","814.57","7,91,257","64,45,36,634.10","20,271","4,62,613","58.47"
"HCLTECH","EQ","21-Dec-2016","830.15","835.00","836.80","816.30","819.00","820.80","826.82","10,31,894","85,31,95,307.70","53,689","6,55,333","63.51"
"HCLTECH","EQ","20-Dec-2016","824.70","825.00","834.15","824.35","831.80","830.15","829.94","14,02,284","1,16,38,11,033.40","62,031","10,41,353","74.26"
"HCLTECH","EQ","19-Dec-2016","820.60","820.60","826.90","815.00","826.00","824.70","822.45","10,74,079","88,33,76,908.50","37,947","7,54,265","70.22"
"HCLTECH","EQ","16-Dec-2016","832.15","835.80","835.80","815.20","820.60","820.60","820.97","13,16,441","1,08,07,57,646.10","49,244","8,08,265","61.40"
"HCLTECH","EQ","15-Dec-2016","820.80","822.00","840.00","822.00","830.00","832.15","833.52","28,00,815","2,33,45,42,165.20","86,562","17,05,837","60.91"
"HCLTECH","EQ","14-Dec-2016","800.95","806.10","824.30","796.25","822.00","820.80","814.67","18,60,577","1,51,57,50,718.15","80,698","10,03,772","53.95"
"HCLTECH","EQ","13-Dec-2016","799.80","801.05","803.90","791.20","801.00","800.95","796.78","9,38,976","74,81,58,279.85","58,100","5,91,069","62.95"
"HCLTECH","EQ","12-Dec-2016","803.30","796.00","803.55","790.65","800.05","799.80","798.32","15,05,531","1,20,18,91,926.95","73,606","10,58,313","70.29"
"HCLTECH","EQ","09-Dec-2016","794.85","797.00","805.90","783.25","802.50","803.30","800.48","13,49,777","1,08,04,64,895.65","44,787","6,73,155","49.87"
"HCLTECH","EQ","08-Dec-2016","785.35","789.00","797.00","783.00","795.40","794.85","792.35","10,31,818","81,75,60,304.40","44,713","6,48,998","62.90"
"HCLTECH","EQ","07-Dec-2016","780.90","786.70","789.10","771.10","788.70","785.35","783.54","8,10,851","63,53,34,342.50","37,284","4,66,887","57.58"
"HCLTECH","EQ","06-Dec-2016","793.40","798.00","801.50","778.40","779.35","780.90","789.32","7,78,814","61,47,32,083.20","35,223","4,98,022","63.95"
"HCLTECH","EQ","05-Dec-2016","793.60","789.55","801.45","782.20","797.40","793.40","791.28","7,53,658","59,63,58,235.15","20,638","4,01,247","53.24"
"HCLTECH","EQ","02-Dec-2016","803.10","801.70","816.90","790.00","790.10","793.60","805.40","10,51,697","84,70,36,045.90","54,030","4,21,831","40.11"
"HCLTECH","EQ","01-Dec-2016","803.80","803.90","806.50","792.00","804.60","803.10","799.03","12,56,375","1,00,38,78,243.00","36,374","8,49,781","67.64"
