"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","30-Jun-2026","1,036.70","1,030.00","1,030.40","996.00","1,006.00","1,000.40","1,007.28","2,41,28,263","24,30,39,60,220.50","4,40,240","1,30,58,140","54.12"
"INFY","EQ","29-Jun-2026","1,041.20","1,037.10","1,046.60","1,029.10","1,034.00","1,036.70","1,035.17","1,50,80,892","15,61,12,16,315.10","2,48,692","89,09,976","59.08"
"INFY","EQ","25-Jun-2026","1,056.60","1,065.00","1,068.00","1,039.10","1,042.90","1,041.20","1,048.00","1,58,66,779","16,62,84,60,525.50","2,75,365","91,12,752","57.43"
"INFY","EQ","24-Jun-2026","1,029.30","1,040.90","1,065.50","1,037.70","1,056.00","1,056.60","1,050.65","1,23,46,266","12,97,16,00,161.40","2,16,180","55,58,437","45.02"
"INFY","EQ","23-Jun-2026","1,065.40","1,053.80","1,055.30","1,026.00","1,029.00","1,029.30","1,034.72","1,93,23,064","19,99,40,16,676.90","4,04,611","97,57,180","50.49"
"INFY","EQ","22-Jun-2026","1,051.40","1,055.00","1,080.30","1,055.00","1,065.00","1,065.40","1,067.86","1,01,78,505","10,86,91,91,699.80","1,90,156","42,36,224","41.62"
"INFY","EQ","19-Jun-2026","1,127.50","1,062.30","1,066.00","1,030.00","1,054.20","1,051.40","1,043.82","4,56,65,442","47,66,66,65,585.60","7,65,616","2,25,06,869","49.29"
"INFY","EQ","18-Jun-2026","1,157.70","1,142.90","1,142.90","1,125.30","1,127.40","1,127.50","1,130.34","1,67,81,447","18,96,87,61,942.20","2,13,308","96,21,856","57.34"
"INFY","EQ","17-Jun-2026","1,143.60","1,149.00","1,162.50","1,148.00","1,156.00","1,157.70","1,157.38","59,95,119","6,93,86,01,945.20","1,25,573","28,18,504","47.01"
"INFY","EQ","16-Jun-2026","1,134.90","1,136.90","1,153.80","1,123.20","1,145.00","1,143.60","1,140.85","1,04,56,090","11,92,88,04,188.90","1,62,431","50,98,711","48.76"
"INFY","EQ","15-Jun-2026","1,116.40","1,130.00","1,151.00","1,123.00","1,135.60","1,134.90","1,135.97","78,56,192","8,92,43,77,450.20","1,29,357","39,64,378","50.46"
"INFY","EQ","12-Jun-2026","1,114.60","1,120.00","1,123.30","1,111.50","1,118.50","1,116.40","1,116.40","80,75,333","9,01,53,14,182.30","1,51,562","49,56,397","61.38"
"INFY","EQ","11-Jun-2026","1,145.30","1,129.70","1,133.70","1,109.00","1,119.50","1,114.60","1,116.74","93,72,176","10,46,62,92,643.10","2,45,811","41,16,938","43.93"
"INFY","EQ","10-Jun-2026","1,180.30","1,160.10","1,171.40","1,143.30","1,144.00","1,145.30","1,154.24","88,87,626","10,25,84,50,697.60","1,74,623","42,58,395","47.91"
"INFY","EQ","09-Jun-2026","1,187.60","1,193.60","1,193.60","1,167.30","1,181.70","1,180.30","1,176.06","1,09,84,054","12,91,79,03,889.00","1,90,190","53,96,204","49.13"
"INFY","EQ","08-Jun-2026","1,197.50","1,177.50","1,200.70","1,176.50","1,187.00","1,187.60","1,189.58","86,31,711","10,26,81,42,160.10","1,64,182","47,35,993","54.87"
"INFY","EQ","05-Jun-2026","1,201.30","1,220.00","1,223.80","1,194.30","1,199.00","1,197.50","1,201.93","86,92,290","10,44,75,14,955.60","1,38,390","49,02,149","56.40"
"INFY","EQ","04-Jun-2026","1,222.60","1,208.00","1,215.20","1,196.20","1,204.40","1,201.30","1,203.46","1,27,55,957","15,35,12,98,787.80","2,06,266","59,34,118","46.52"
"INFY","EQ","03-Jun-2026","1,270.80","1,242.10","1,249.90","1,216.00","1,220.50","1,222.60","1,225.95","1,85,34,303","22,72,21,20,449.40","3,53,815","1,06,26,302","57.33"
"INFY","EQ","02-Jun-2026","1,202.50","1,232.50","1,278.90","1,232.50","1,270.00","1,270.80","1,263.28","3,60,32,600","45,51,91,12,148.80","4,97,139","2,09,83,487","58.23"
"INFY","EQ","01-Jun-2026","1,160.90","1,175.00","1,217.00","1,173.70","1,203.50","1,202.50","1,205.22","1,94,39,331","23,42,86,14,350.30","2,61,853","82,38,710","42.38"
"INFY","EQ","29-May-2026","1,159.90","1,182.00","1,210.00","1,153.60","1,156.40","1,160.90","1,169.50","6,90,85,430","80,79,53,33,060.80","3,92,999","4,79,11,031","69.35"
"INFY","EQ","27-May-2026","1,167.70","1,161.00","1,167.30","1,155.00","1,162.00","1,159.90","1,160.50","63,71,871","7,39,45,29,529.50","1,35,727","25,85,058","40.57"
"INFY","EQ","26-May-2026","1,168.50","1,166.30","1,180.70","1,162.90","1,166.00","1,167.70","1,172.18","80,05,767","9,38,41,92,190.60","1,51,193","43,23,399","54.00"
"INFY","EQ","25-May-2026","1,174.50","1,183.00","1,185.00","1,166.10","1,168.00","1,168.50","1,173.45","58,56,136","6,87,18,86,851.00","1,02,287","32,85,372","56.10"
"INFY","EQ","22-May-2026","1,181.20","1,182.50","1,191.80","1,172.50","1,175.00","1,174.50","1,179.30","88,03,066","10,38,14,17,170.70","1,52,471","58,07,661","65.97"
"INFY","EQ","21-May-2026","1,193.70","1,196.10","1,201.80","1,177.00","1,178.20","1,181.20","1,185.68","1,00,21,033","11,88,17,71,275.10","1,92,009","52,05,193","51.94"
"INFY","EQ","20-May-2026","1,196.90","1,187.00","1,206.90","1,184.90","1,190.00","1,193.70","1,195.38","1,51,21,010","18,07,53,35,888.50","1,80,970","1,05,10,891","69.51"
"INFY","EQ","19-May-2026","1,142.50","1,162.00","1,198.40","1,162.00","1,194.00","1,196.90","1,190.55","3,21,75,705","38,30,68,60,777.50","3,77,426","2,21,02,537","68.69"
"INFY","EQ","18-May-2026","1,119.00","1,119.00","1,146.10","1,118.00","1,145.60","1,142.50","1,134.98","1,20,96,377","13,72,91,12,433.30","3,22,692","60,58,529","50.09"
"INFY","EQ","15-May-2026","1,095.00","1,102.00","1,133.20","1,101.60","1,116.00","1,119.00","1,120.63","1,74,82,450","19,59,13,03,917.70","2,43,995","1,08,52,181","62.07"
"INFY","EQ","14-May-2026","1,123.10","1,119.80","1,121.90","1,089.00","1,094.10","1,095.00","1,098.25","1,69,14,842","18,57,66,54,825.50","5,61,427","94,37,024","55.79"
"INFY","EQ","13-May-2026","1,140.30","1,136.60","1,142.60","1,121.00","1,123.40","1,123.10","1,128.99","66,64,111","7,52,37,46,916.20","2,29,143","35,33,941","53.03"
"INFY","EQ","12-May-2026","1,177.00","1,162.00","1,162.00","1,123.00","1,139.70","1,140.30","1,137.20","1,68,91,948","19,20,94,76,661.90","3,59,355","86,94,986","51.47"
"INFY","EQ","11-May-2026","1,179.20","1,176.00","1,187.00","1,172.10","1,176.00","1,177.00","1,180.51","73,36,288","8,66,05,45,241.40","1,54,970","45,03,512","61.39"
"INFY","EQ","08-May-2026","1,162.70","1,161.00","1,183.50","1,158.80","1,179.50","1,179.20","1,174.01","75,82,770","8,90,22,53,764.70","1,48,760","42,85,714","56.52"
"INFY","EQ","07-May-2026","1,167.20","1,173.00","1,175.40","1,159.20","1,165.90","1,162.70","1,166.46","1,20,13,987","14,01,37,85,057.40","1,93,359","67,95,220","56.56"
