DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES
30-Jan-15,EQ,"2,560.70","2,575.00","2,470.00","2,544.65","2,484.00","2,482.05","2,494.94","2,839.70","1,999.50","29,08,701","7,25,70,25,448.90","1,19,200"
29-Jan-15,EQ,"2,538.00","2,568.70","2,512.90","2,539.60","2,560.70","2,544.65","2,531.88","2,839.70","1,999.50","18,67,196","4,72,75,19,891.70","67,497"
28-Jan-15,EQ,"2,503.00","2,544.90","2,502.90","2,502.05","2,533.40","2,539.60","2,529.32","2,839.70","1,999.50","15,60,990","3,94,82,40,029.20","1,01,994"
27-Jan-15,EQ,"2,512.35","2,515.00","2,489.55","2,503.60","2,504.20","2,502.05","2,502.26","2,839.70","1,999.50","13,69,368","3,42,65,10,287.60","71,406"
23-Jan-15,EQ,"2,514.00","2,532.05","2,496.10","2,513.55","2,504.10","2,503.60","2,507.34","2,839.70","1,999.50","15,75,190","3,94,95,29,682.50","94,619"
22-Jan-15,EQ,"2,516.50","2,521.25","2,495.50","2,513.80","2,511.00","2,513.55","2,509.31","2,839.70","1,999.50","10,56,607","2,65,13,54,602.65","74,837"
21-Jan-15,EQ,"2,522.00","2,522.00","2,488.25","2,500.45","2,518.00","2,513.80","2,507.75","2,839.70","1,999.50","11,55,240","2,89,70,54,575.55","75,976"
20-Jan-15,EQ,"2,520.00","2,530.00","2,483.25","2,511.00","2,498.00","2,500.45","2,498.94","2,839.70","1,999.50","10,29,283","2,57,21,21,220.80","58,066"
19-Jan-15,EQ,"2,536.00","2,551.00","2,503.00","2,532.15","2,509.00","2,511.00","2,516.06","2,839.70","1,999.50","5,67,537","1,42,79,54,312.25","38,860"
16-Jan-15,EQ,"2,543.70","2,545.00","2,484.30","2,539.10","2,526.00","2,532.15","2,511.39","2,839.70","1,999.50","26,46,915","6,64,74,44,421.00","1,27,847"
15-Jan-15,EQ,"2,533.00","2,581.75","2,523.25","2,521.95","2,542.05","2,539.10","2,550.97","2,839.70","1,999.50","25,04,960","6,39,00,76,185.10","96,363"
14-Jan-15,EQ,"2,516.00","2,531.80","2,500.50","2,497.90","2,525.05","2,521.95","2,517.54","2,839.70","1,999.50","8,93,548","2,24,95,46,195.85","69,237"
13-Jan-15,EQ,"2,520.00","2,530.40","2,480.10","2,509.70","2,498.00","2,497.90","2,509.40","2,839.70","1,999.50","7,34,216","1,84,24,40,372.80","49,993"
12-Jan-15,EQ,"2,517.00","2,528.00","2,480.25","2,512.30","2,527.95","2,509.70","2,497.82","2,839.70","1,999.50","7,98,003","1,99,32,65,997.00","58,810"
9-Jan-15,EQ,"2,455.00","2,519.90","2,450.00","2,443.80","2,510.00","2,512.30","2,490.01","2,839.70","1,999.50","15,98,821","3,98,10,82,206.10","81,743"
8-Jan-15,EQ,"2,442.40","2,449.00","2,420.55","2,417.70","2,446.00","2,443.80","2,434.81","2,839.70","1,999.50","7,82,704","1,90,57,39,344.95","47,699"
7-Jan-15,EQ,"2,470.00","2,479.15","2,407.45","2,446.60","2,426.90","2,417.70","2,433.96","2,839.70","1,999.50","13,18,166","3,20,83,62,462.05","1,01,741"
6-Jan-15,EQ,"2,529.10","2,529.10","2,440.00","2,540.25","2,450.05","2,446.60","2,466.90","2,839.70","1,999.50","12,11,892","2,98,96,15,356.45","84,503"
5-Jan-15,EQ,"2,581.00","2,599.90","2,524.65","2,579.45","2,538.10","2,540.25","2,563.94","2,839.70","1,999.50","8,77,121","2,24,88,85,540.95","43,234"
2-Jan-15,EQ,"2,551.00","2,590.95","2,550.60","2,545.55","2,588.40","2,579.45","2,568.19","2,839.70","1,999.50","4,62,870","1,18,87,40,109.50","27,585"
1-Jan-15,EQ,"2,567.00","2,567.00","2,541.00","2,558.25","2,550.00","2,545.55","2,548.51","2,839.70","1,999.50","1,83,415","46,74,34,456.15","8,002"
