"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WIPRO","EQ","29-Dec-2017","308.00","305.40","316.40","303.00","312.00","314.25","310.35","37,76,248","1,17,19,74,543.70","37,164","15,74,692","41.70"
"WIPRO","EQ","28-Dec-2017","306.60","305.90","309.90","302.50","305.90","308.00","306.61","50,47,272","1,54,75,48,062.90","31,165","22,10,928","43.80"
"WIPRO","EQ","27-Dec-2017","302.90","303.90","308.00","300.05","306.60","306.60","304.15","18,15,733","55,22,55,109.15","28,376","7,69,713","42.39"
"WIPRO","EQ","26-Dec-2017","301.60","301.25","307.00","298.15","304.00","302.90","301.88","18,55,536","56,01,42,383.85","27,896","6,94,352","37.42"
"WIPRO","EQ","22-Dec-2017","297.75","298.00","303.40","296.05","301.50","301.60","300.32","17,58,584","52,81,32,805.35","28,960","4,86,566","27.67"
"WIPRO","EQ","21-Dec-2017","296.50","295.80","299.00","294.40","297.00","297.75","296.70","13,91,731","41,29,25,922.95","24,178","5,76,320","41.41"
"WIPRO","EQ","20-Dec-2017","292.40","294.85","298.50","292.40","294.60","296.50","295.06","26,55,605","78,35,61,163.35","54,391","14,58,477","54.92"
"WIPRO","EQ","19-Dec-2017","295.80","295.00","296.95","290.55","295.35","292.40","293.29","38,18,939","1,12,00,52,064.85","51,518","22,33,200","58.48"
"WIPRO","EQ","18-Dec-2017","289.70","287.00","297.75","284.25","294.20","295.80","291.44","25,83,941","75,30,74,543.00","39,905","10,99,151","42.54"
"WIPRO","EQ","15-Dec-2017","288.60","288.60","290.75","286.70","289.00","289.70","289.18","18,49,115","53,47,35,229.30","30,309","12,66,744","68.51"
"WIPRO","EQ","14-Dec-2017","287.20","288.40","290.50","282.35","289.05","288.60","285.95","12,65,680","36,19,21,481.15","19,562","5,12,504","40.49"
"WIPRO","EQ","13-Dec-2017","287.80","288.40","289.45","285.25","286.00","287.20","287.42","10,91,782","31,38,03,212.00","13,276","4,42,979","40.57"
"WIPRO","EQ","12-Dec-2017","289.40","290.50","291.35","285.20","286.90","287.80","287.68","12,42,956","35,75,71,652.60","21,984","6,23,009","50.12"
"WIPRO","EQ","11-Dec-2017","282.90","284.20","290.00","284.20","288.60","289.40","287.62","15,47,204","44,50,03,712.70","25,774","6,45,060","41.69"
"WIPRO","EQ","08-Dec-2017","281.20","282.70","286.00","281.60","282.50","282.90","284.04","18,16,424","51,59,38,187.25","28,249","9,86,406","54.30"
"WIPRO","EQ","07-Dec-2017","282.50","283.55","284.75","280.00","280.90","281.20","282.08","25,24,500","71,21,20,162.30","32,374","16,13,834","63.93"
"WIPRO","EQ","06-Dec-2017","283.45","283.30","284.45","280.60","282.55","282.50","282.27","21,59,973","60,96,95,852.35","40,649","14,62,916","67.73"
"WIPRO","EQ","05-Dec-2017","289.95","288.60","288.60","282.70","283.00","283.45","285.03","18,58,587","52,97,47,186.50","19,066","9,79,283","52.69"
"WIPRO","EQ","04-Dec-2017","289.40","286.95","291.10","282.75","288.75","289.95","287.76","32,96,492","94,85,94,999.10","35,027","14,69,452","44.58"
"WIPRO","EQ","01-Dec-2017","291.90","292.00","293.85","288.05","288.55","289.40","290.92","14,28,280","41,55,17,755.20","14,726","7,51,635","52.63"
"WIPRO","EQ","30-Nov-2017","298.65","299.35","300.45","289.35","291.50","291.90","294.36","68,49,560","2,01,62,52,427.40","74,940","40,58,673","59.25"
"WIPRO","EQ","29-Nov-2017","294.85","295.00","299.20","293.50","299.20","298.65","297.36","25,25,804","75,10,76,411.40","30,963","14,81,648","58.66"
"WIPRO","EQ","28-Nov-2017","294.80","295.00","295.90","293.30","294.00","294.85","294.70","15,03,548","44,30,96,727.75","16,227","9,78,767","65.10"
"WIPRO","EQ","27-Nov-2017","292.70","291.25","295.35","291.00","295.10","294.80","293.18","10,48,839","30,74,97,843.25","21,436","5,65,069","53.88"
"WIPRO","EQ","24-Nov-2017","293.55","294.40","294.40","291.00","293.65","292.70","292.06","16,08,493","46,97,78,470.05","29,943","9,73,393","60.52"
"WIPRO","EQ","23-Nov-2017","294.30","295.20","295.20","293.10","293.50","293.55","293.58","6,76,444","19,85,89,858.90","10,257","2,97,276","43.95"
"WIPRO","EQ","22-Nov-2017","294.00","295.70","295.70","293.00","294.45","294.30","294.02","12,71,922","37,39,69,832.85","24,028","8,29,182","65.19"
"WIPRO","EQ","21-Nov-2017","294.35","297.15","298.00","293.15","294.25","294.00","295.36","20,60,394","60,85,56,172.30","24,788","12,46,370","60.49"
"WIPRO","EQ","20-Nov-2017","295.15","295.10","296.90","292.40","295.15","294.35","294.48","19,28,445","56,78,81,120.85","21,810","11,27,158","58.45"
"WIPRO","EQ","17-Nov-2017","297.65","298.20","298.85","294.50","295.65","295.15","296.27","17,40,080","51,55,28,325.60","27,104","9,73,869","55.97"
"WIPRO","EQ","16-Nov-2017","296.50","298.00","299.15","294.70","297.00","297.65","296.92","18,17,307","53,95,85,763.15","21,787","10,01,174","55.09"
"WIPRO","EQ","15-Nov-2017","298.50","298.50","299.75","294.10","297.00","296.50","296.27","14,69,507","43,53,72,067.75","16,755","8,71,005","59.27"
"WIPRO","EQ","14-Nov-2017","298.60","299.80","300.15","295.45","299.40","298.50","298.04","13,29,646","39,62,92,612.90","17,161","8,49,951","63.92"
"WIPRO","EQ","13-Nov-2017","302.65","300.30","304.40","298.05","298.60","298.60","300.60","7,77,589","23,37,44,531.95","8,515","3,69,691","47.54"
"WIPRO","EQ","10-Nov-2017","302.50","302.55","304.00","298.25","302.65","302.65","302.01","15,80,252","47,72,53,669.80","19,532","9,73,285","61.59"
"WIPRO","EQ","09-Nov-2017","302.40","303.00","304.45","299.60","303.35","302.50","302.30","9,57,389","28,94,14,188.65","12,929","4,81,713","50.32"
"WIPRO","EQ","08-Nov-2017","302.25","303.75","306.60","301.05","302.30","302.40","303.97","19,70,831","59,90,70,272.80","26,290","9,19,929","46.68"
"WIPRO","EQ","07-Nov-2017","299.85","299.85","308.75","298.25","302.30","302.25","304.25","56,85,446","1,72,97,79,772.95","69,185","22,12,727","38.92"
"WIPRO","EQ","06-Nov-2017","294.55","293.90","301.00","293.45","301.00","299.85","297.92","14,53,699","43,30,87,332.65","29,117","8,01,191","55.11"
"WIPRO","EQ","03-Nov-2017","293.25","293.75","295.85","293.60","294.40","294.55","294.50","7,90,322","23,27,47,128.45","21,496","4,46,836","56.54"
"WIPRO","EQ","02-Nov-2017","293.55","293.50","295.70","292.95","293.70","293.25","293.93","9,61,626","28,26,53,651.95","12,133","5,24,558","54.55"
"WIPRO","EQ","01-Nov-2017","294.05","296.00","296.65","293.05","293.80","293.55","294.35","8,54,059","25,13,95,206.90","9,670","2,95,232","34.57"
"WIPRO","EQ","31-Oct-2017","293.25","293.25","296.45","292.70","294.75","294.05","294.18","10,82,300","31,83,90,564.35","14,386","5,37,098","49.63"
"WIPRO","EQ","30-Oct-2017","296.95","296.30","296.30","292.05","293.00","293.25","293.23","14,28,720","41,89,42,994.75","18,677","8,49,250","59.44"
"WIPRO","EQ","27-Oct-2017","302.30","299.40","299.95","295.00","295.30","296.95","296.76","12,29,178","36,47,67,480.05","22,312","8,04,759","65.47"
"WIPRO","EQ","26-Oct-2017","298.90","297.80","303.95","297.15","299.30","302.30","301.35","37,76,497","1,13,80,50,250.00","35,297","23,95,622","63.44"
"WIPRO","EQ","25-Oct-2017","296.80","297.30","301.85","296.00","298.50","298.90","299.72","17,26,066","51,73,38,266.60","25,864","10,45,861","60.59"
"WIPRO","EQ","24-Oct-2017","296.90","296.45","298.90","295.10","297.00","296.80","296.69","14,92,008","44,26,70,284.80","22,769","9,47,032","63.47"
"WIPRO","EQ","23-Oct-2017","292.05","292.70","297.40","292.30","296.30","296.90","294.27","27,99,741","82,38,86,403.05","29,596","19,83,350","70.84"
"WIPRO","EQ","19-Oct-2017","294.75","294.80","294.80","291.10","292.10","292.05","292.41","2,77,319","8,10,91,489.25","3,302","1,32,573","47.81"
"WIPRO","EQ","18-Oct-2017","289.85","289.60","299.10","289.60","295.40","294.75","294.60","54,49,623","1,60,54,82,672.35","81,745","20,26,060","37.18"
"WIPRO","EQ","17-Oct-2017","290.70","292.00","292.65","286.15","290.05","289.85","290.20","36,90,358","1,07,09,33,657.65","45,038","22,29,555","60.42"
"WIPRO","EQ","16-Oct-2017","291.90","291.90","292.45","287.25","290.70","290.70","289.72","26,01,918","75,38,38,966.40","28,620","16,05,276","61.70"
"WIPRO","EQ","13-Oct-2017","293.45","294.55","295.75","290.80","291.70","291.90","292.43","15,83,494","46,30,67,603.00","30,166","10,08,391","63.68"
"WIPRO","EQ","12-Oct-2017","290.65","291.00","295.00","289.90","292.90","293.45","292.67","17,28,000","50,57,37,700.85","20,590","12,84,526","74.34"
"WIPRO","EQ","11-Oct-2017","287.00","286.95","291.85","286.20","291.00","290.65","289.49","19,17,664","55,51,40,508.80","22,890","15,43,781","80.50"
"WIPRO","EQ","10-Oct-2017","286.80","286.80","288.30","285.00","287.90","287.00","286.83","9,13,273","26,19,57,724.40","12,532","6,21,423","68.04"
"WIPRO","EQ","09-Oct-2017","286.60","285.95","287.30","284.55","286.95","286.80","286.08","5,06,365","14,48,59,001.40","8,553","2,20,046","43.46"
"WIPRO","EQ","06-Oct-2017","283.60","285.00","287.00","283.75","286.50","286.60","286.15","14,93,349","42,73,28,877.65","14,811","10,11,627","67.74"
"WIPRO","EQ","05-Oct-2017","282.75","283.60","285.00","281.95","283.40","283.60","283.86","5,80,154","16,46,82,508.30","7,354","1,89,786","32.71"
"WIPRO","EQ","04-Oct-2017","282.95","282.90","286.25","281.60","282.70","282.75","283.86","8,75,598","24,85,48,182.80","13,313","3,79,960","43.39"
"WIPRO","EQ","03-Oct-2017","280.25","281.40","285.65","280.25","282.90","282.95","283.28","12,86,305","36,43,81,257.90","21,722","6,40,438","49.79"
"WIPRO","EQ","29-Sep-2017","285.90","287.25","287.90","279.20","280.20","280.25","283.08","15,88,557","44,96,95,023.80","31,426","8,84,446","55.68"
"WIPRO","EQ","28-Sep-2017","288.30","289.65","290.25","284.90","286.40","285.90","286.08","39,91,666","1,14,19,38,716.60","43,274","30,38,914","76.13"
"WIPRO","EQ","27-Sep-2017","290.25","290.65","290.80","287.30","288.15","288.30","288.59","22,88,571","66,04,52,520.95","32,969","16,65,762","72.79"
"WIPRO","EQ","26-Sep-2017","291.90","291.00","292.30","289.05","289.60","290.25","290.22","15,52,002","45,04,26,816.55","15,709","8,40,021","54.12"
"WIPRO","EQ","25-Sep-2017","294.45","293.20","294.55","290.10","291.00","291.90","292.08","13,42,043","39,19,82,495.85","23,607","6,33,685","47.22"
"WIPRO","EQ","22-Sep-2017","291.90","290.65","294.95","290.45","293.95","294.45","293.38","30,36,437","89,08,41,970.95","28,634","20,18,627","66.48"
"WIPRO","EQ","21-Sep-2017","291.90","290.60","292.90","289.70","291.90","291.90","291.30","18,57,914","54,12,14,118.95","12,261","13,59,783","73.19"
"WIPRO","EQ","20-Sep-2017","289.25","288.85","292.15","286.25","291.70","291.90","289.15","21,42,355","61,94,56,806.65","16,833","15,33,308","71.57"
"WIPRO","EQ","19-Sep-2017","289.30","289.30","291.45","287.50","289.00","289.25","289.58","17,08,963","49,48,87,238.90","13,006","9,71,471","56.85"
"WIPRO","EQ","18-Sep-2017","285.75","283.50","290.00","283.50","289.15","289.30","288.14","18,22,747","52,52,03,930.70","19,320","10,98,770","60.28"
"WIPRO","EQ","15-Sep-2017","283.45","287.00","287.25","281.65","286.05","285.75","285.31","56,25,481","1,60,49,85,473.90","53,142","40,12,819","71.33"
"WIPRO","EQ","14-Sep-2017","295.90","281.50","288.90","281.20","283.25","283.45","283.65","58,13,915","1,64,91,21,487.50","62,045","33,24,781","57.19"
"WIPRO","EQ","13-Sep-2017","298.10","298.10","299.70","295.30","297.25","295.90","297.00","66,31,530","1,96,95,45,617.40","63,003","54,56,431","82.28"
"WIPRO","EQ","12-Sep-2017","301.15","302.10","302.90","297.50","297.95","298.10","299.07","78,41,809","2,34,52,10,871.45","81,503","56,31,830","71.82"
"WIPRO","EQ","11-Sep-2017","300.50","301.40","303.40","300.25","301.70","301.15","301.47","53,53,348","1,61,38,92,567.45","46,081","38,29,768","71.54"
"WIPRO","EQ","08-Sep-2017","298.95","300.00","301.70","298.50","301.15","300.50","299.79","45,17,471","1,35,42,80,346.05","75,735","36,88,919","81.66"
"WIPRO","EQ","07-Sep-2017","297.20","298.00","299.90","297.50","299.00","298.95","298.85","33,41,280","99,85,34,560.55","26,769","25,39,034","75.99"
"WIPRO","EQ","06-Sep-2017","297.25","297.00","297.90","296.10","297.45","297.20","296.97","30,91,237","91,80,14,381.85","20,594","24,10,751","77.99"
"WIPRO","EQ","05-Sep-2017","297.30","297.40","298.40","296.40","297.55","297.25","297.47","29,20,881","86,88,89,063.15","20,098","21,95,772","75.17"
"WIPRO","EQ","04-Sep-2017","296.45","296.95","298.00","295.70","297.50","297.30","296.75","30,07,517","89,24,90,247.20","31,023","20,78,737","69.12"
"WIPRO","EQ","01-Sep-2017","299.10","298.00","298.30","295.80","296.00","296.45","296.79","32,00,862","94,99,80,600.00","39,467","22,11,430","69.09"
"WIPRO","EQ","31-Aug-2017","291.20","295.00","300.50","294.10","297.85","299.10","297.86","1,03,44,646","3,08,12,07,342.65","60,193","56,63,590","54.75"
"WIPRO","EQ","30-Aug-2017","290.75","291.45","292.00","290.60","290.75","291.20","291.48","18,37,382","53,55,55,912.25","45,860","13,90,701","75.69"
"WIPRO","EQ","29-Aug-2017","290.70","290.80","292.00","290.10","290.85","290.75","290.81","17,59,428","51,16,56,738.80","25,489","12,49,559","71.02"
"WIPRO","EQ","28-Aug-2017","289.40","290.00","291.80","289.70","290.80","290.70","290.75","21,43,420","62,31,97,253.05","33,593","17,39,943","81.18"
"WIPRO","EQ","24-Aug-2017","290.00","290.45","291.00","288.80","290.00","289.40","289.63","27,80,093","80,51,92,513.60","28,067","24,19,390","87.03"
"WIPRO","EQ","23-Aug-2017","290.25","291.10","291.80","289.60","290.00","290.00","290.22","23,33,779","67,73,11,580.80","30,476","17,63,231","75.55"
"WIPRO","EQ","22-Aug-2017","287.70","290.50","293.00","288.90","290.50","290.25","291.04","27,14,521","79,00,21,608.15","43,939","17,48,420","64.41"
"WIPRO","EQ","21-Aug-2017","288.10","289.35","291.20","287.30","288.00","287.70","288.99","28,55,010","82,50,79,119.05","50,356","21,11,391","73.95"
"WIPRO","EQ","18-Aug-2017","288.35","288.05","291.00","287.90","288.05","288.10","289.37","29,80,838","86,25,54,258.55","53,873","19,87,703","66.68"
"WIPRO","EQ","17-Aug-2017","289.95","290.90","291.00","288.00","288.25","288.35","289.27","26,37,344","76,29,08,535.80","25,553","18,94,234","71.82"
"WIPRO","EQ","16-Aug-2017","288.50","289.40","290.10","288.00","289.15","289.95","289.59","20,11,284","58,24,39,539.65","28,162","14,71,448","73.16"
"WIPRO","EQ","14-Aug-2017","289.70","290.05","290.90","287.25","287.85","288.50","288.54","16,09,558","46,44,28,662.55","27,416","10,70,767","66.53"
"WIPRO","EQ","11-Aug-2017","288.15","288.00","294.55","287.70","289.60","289.70","290.49","35,49,897","1,03,12,02,783.95","59,529","19,73,037","55.58"
"WIPRO","EQ","10-Aug-2017","286.50","286.00","289.45","285.75","289.15","288.15","287.72","27,08,344","77,92,32,607.40","53,179","18,25,020","67.39"
"WIPRO","EQ","09-Aug-2017","287.40","287.10","288.55","285.90","286.60","286.50","287.14","10,89,850","31,29,34,534.00","17,637","6,51,465","59.78"
"WIPRO","EQ","08-Aug-2017","287.75","291.30","291.55","284.90","287.05","287.40","286.88","27,29,913","78,31,45,739.70","29,313","15,76,769","57.76"
"WIPRO","EQ","07-Aug-2017","289.40","289.60","289.90","287.10","287.95","287.75","287.98","14,70,499","42,34,72,772.10","22,278","9,24,034","62.84"
"WIPRO","EQ","04-Aug-2017","289.10","289.80","293.20","289.00","289.85","289.40","290.08","25,48,522","73,92,63,788.70","25,808","17,25,120","67.69"
"WIPRO","EQ","03-Aug-2017","293.80","294.70","295.40","288.60","289.25","289.10","291.79","36,45,825","1,06,38,24,007.65","37,727","24,91,302","68.33"
"WIPRO","EQ","02-Aug-2017","294.80","294.00","297.70","293.00","293.60","293.80","294.98","24,26,114","71,56,44,355.55","33,440","13,03,490","53.73"
